location,cause,year,val
Cyprus,Chronic respiratory diseases,1991,353.5419704
Belarus,Mesothelioma,1991,40.69121028
Spain,Respiratory infections and tuberculosis,1990,10150.5595
Luxembourg,Chronic respiratory diseases,1991,180.7578256
Hungary,Chronic respiratory diseases,1993,5398.430034
Belarus,Leukemia,1991,862.8733655
Italy,Respiratory infections and tuberculosis,1996,9542.217665
Montenegro,Chronic respiratory diseases,1993,56.74061827
Italy,Chronic respiratory diseases,1991,24507.8372
Austria,Chronic respiratory diseases,1996,2436.842834
Poland,Respiratory infections and tuberculosis,1993,8289.406863
Belarus,Cardiovascular diseases,1995,74920.50448
Belarus,Chronic respiratory diseases,1995,6613.462528
Bos&Herz,Chronic respiratory diseases,1995,1320.467352
Finland,Respiratory infections and tuberculosis,1990,2738.146141
Belgium,Chronic respiratory diseases,1995,7173.252319
Andorra,Respiratory infections and tuberculosis,1992,7.110779615
Portugal,Respiratory infections and tuberculosis,1994,4278.346268
Belarus,Respiratory infections and tuberculosis,1991,1707.317388
Ireland,Respiratory infections and tuberculosis,1992,1957.9418
Republic of Moldova,Chronic respiratory diseases,1994,2099.945397
Iceland,Mesothelioma,1993,2.166036689
Croatia,Respiratory infections and tuberculosis,1994,1334.511811
Greece,Mesothelioma,1997,63.76480683
Greece,Leukemia,1997,1217.194634
Poland,Mesothelioma,1993,73.45233547
Italy,Mesothelioma,1991,1159.994658
Italy,Leukemia,1991,5329.958851
Lithuania,Chronic respiratory diseases,1990,1473.147507
Poland,Chronic respiratory diseases,1992,13644.00795
Italy,Respiratory infections and tuberculosis,1991,9467.599915
Sweden,Mesothelioma,1990,126.5009154
Sweden,Leukemia,1990,697.3683714
Sweden,Cardiovascular diseases,1990,46704.11584
Latvia,Mesothelioma,1990,5.9566548
Latvia,Leukemia,1990,239.4920144
Latvia,Cardiovascular diseases,1990,19367.8748
Greece,Respiratory infections and tuberculosis,1992,2306.868627
Belgium,Mesothelioma,1996,172.3764426
Belgium,Leukemia,1996,1029.45684
Belgium,Cardiovascular diseases,1996,37337.55646
Switzerland,Chronic respiratory diseases,1990,2536.836929
Monaco,Leukemia,1996,6.414003955
Monaco,Cardiovascular diseases,1996,204.6708515
Denmark,Mesothelioma,1991,74.32009072
Denmark,Leukemia,1991,601.3921252
France,Chronic respiratory diseases,1993,22020.14312
Netherlands,Chronic respiratory diseases,1995,7912.768425
Cyprus,Chronic respiratory diseases,1994,364.9820015
Iceland,Mesothelioma,1992,2.1122609
Iceland,Respiratory infections and tuberculosis,1992,108.0380602
Slovakia,Respiratory infections and tuberculosis,1996,2332.063312
Spain,Mesothelioma,1990,269.3891085
Spain,Leukemia,1990,2715.42379
Spain,Cardiovascular diseases,1990,125149.7799
Poland,Cardiovascular diseases,1992,200392.7518
Montenegro,Respiratory infections and tuberculosis,1993,63.85142435
Lithuania,Mesothelioma,1990,11.97070168
Lithuania,Leukemia,1990,308.914509
Lithuania,Cardiovascular diseases,1990,20865.65268
Finland,Respiratory infections and tuberculosis,1993,2976.070184
Austria,Respiratory infections and tuberculosis,1990,1558.887737
Malta,Mesothelioma,1991,3.561363159
Sweden,Respiratory infections and tuberculosis,1990,4480.602168
Republic of Moldova,Mesothelioma,1990,4.665981535
Republic of Moldova,Leukemia,1990,266.755745
Bos&Herz,Mesothelioma,1996,9.918942605
Bos&Herz,Leukemia,1996,158.9122735
Bos&Herz,Cardiovascular diseases,1996,15997.44497
Bulgaria,Mesothelioma,1995,11.04479399
Republic of Moldova,Respiratory infections and tuberculosis,1990,1421.262139
Malta,Chronic respiratory diseases,1996,117.9951526
Sweden,Chronic respiratory diseases,1990,2481.445275
Estonia,Mesothelioma,1995,3.370371468
Estonia,Leukemia,1991,139.8061727
Estonia,Cardiovascular diseases,1991,11355.88785
Germany,Mesothelioma,1993,1015.535942
Germany,Leukemia,1993,6313.875234
San Marino,Mesothelioma,1995,0.303444772
San Marino,Leukemia,1995,3.001991565
San Marino,Cardiovascular diseases,1995,62.99846717
Serbia,Cardiovascular diseases,1993,56517.46131
Cyprus,Mesothelioma,1995,8.993198677
Cyprus,Leukemia,1995,49.10747511
Cyprus,Cardiovascular diseases,1995,2779.161006
Iceland,Respiratory infections and tuberculosis,1993,109.1066203
Germany,Cardiovascular diseases,1993,421117.7713
Greece,Respiratory infections and tuberculosis,1997,2713.927917
Montenegro,Respiratory infections and tuberculosis,1997,70.2759754
Malta,Respiratory infections and tuberculosis,1991,98.21120618
Monaco,Respiratory infections and tuberculosis,1996,18.70110718
Italy,Cardiovascular diseases,1992,226587.0323
Finland,Chronic respiratory diseases,1993,1286.782544
Iceland,Chronic respiratory diseases,1992,73.18357642
Monaco,Mesothelioma,1990,0.681849154
Monaco,Leukemia,1990,5.786999104
Monaco,Cardiovascular diseases,1990,200.7083504
Poland,Leukemia,1993,2503.827129
Poland,Cardiovascular diseases,1993,195043.1238
Belgium,Chronic respiratory diseases,1992,6734.906939
Germany,Chronic respiratory diseases,1990,39887.83084
Denmark,Respiratory infections and tuberculosis,1991,1945.867523
Slovenia,Chronic respiratory diseases,1991,685.161071
Denmark,Mesothelioma,1994,77.81192857
Denmark,Leukemia,1994,567.374156
Latvia,Chronic respiratory diseases,1991,716.8682272
Romania,Mesothelioma,1992,52.49043917
Romania,Leukemia,1992,1079.132459
Romania,Cardiovascular diseases,1992,147999.1706
UK,Mesothelioma,1990,1817.589031
Romania,Chronic respiratory diseases,1992,13245.30042
Andorra,Mesothelioma,1991,0.96163464
Republic of Moldova,Cardiovascular diseases,1990,21002.78041
Luxembourg,Mesothelioma,1991,4.714379553
Bulgaria,Respiratory infections and tuberculosis,1995,4097.978513
Republic of Moldova,Chronic respiratory diseases,1990,1830.316452
Sweden,Chronic respiratory diseases,1994,2752.722681
Hungary,Chronic respiratory diseases,1998,4515.622459
Germany,Respiratory infections and tuberculosis,1993,19044.99689
Serbia,Chronic respiratory diseases,1993,3614.373038
